cluster_id	nb_of_protein	number_of_genome	number_of_genome_in_valid_branches	unclassified_genome	nb_polyprotein	number_leaves_in_subtree	homogeneity	shared_taxonomy	valid_branches	inflation	coverage	evalue	unclassified_cluster	first_node
0	683	471	121	0	37	249	0.4859437751004016	Viruses	Secoviridae|Iflaviridae|Marnaviridae|Labyrnavirus (unassigned Picornavirales)|Picornaviridae|Dicistroviridae|Bacillarnavirus (unassigned Picornavirales)	1_2	20	1e-30	False	Viruses
2	585	499	492	0	1	3043	0.1616825501150181	Viruses	Satellites|ssRNA viruses|ssDNA viruses|Genomoviridae	1_2	20	1e-30	False	Viruses
4	346	342	341	0	1	2746	0.12418062636562273	Viruses	ssRNA viruses|ssDNA viruses	1_2	20	1e-30	False	Viruses
5	343	339	338	0	1	2746	0.12308812818645302	Viruses	ssRNA viruses|ssDNA viruses	1_2	20	1e-30	False	Viruses
11	299	182	141	0	21	2109	0.06685633001422475	Viruses	ssRNA viruses|dsRNA viruses	1_2	20	1e-30	False	Viruses
32	193	192	186	0	9	187	0.9946524064171123	Viruses	Alphaflexiviridae|Gammaflexiviridae|Tymoviridae|Betaflexiviridae	1_2	20	1e-30	False	Viruses
75	150	149	137	0	122	137	1.0	Viruses	Potyvirus|Bymovirus|Poacevirus|Tritimovirus|Macluravirus|Rymovirus|Ipomovirus|Brambyvirus	1_2	20	1e-30	False	Viruses
87	137	129	102	0	85	103	0.9902912621359223	Viruses	Passerivirus|Hunnivirus|Teschovirus|Aquamavirus|Torchivirus|Megrivirus|Mischivirus|Sapelovirus|Kobuvirus|Aphthovirus|Cosavirus|Kunsagivirus|Rosavirus|Pasivirus|Erbovirus|Mosavirus|Sicinivirus|Senecavirus|Cardiovirus|Oscivirus|Dicipivirus|Avisivirus|Parechovirus|Potamipivirus|Tremovirus|Enterovirus|Sakobuvirus|Gallivirus|Rabovirus|Limnipivirus|Avihepatovirus|Hepatovirus	1_2	20	1e-30	False	Viruses
94	128	67	59	0	29	72	0.8194444444444444	Viruses	Sobemovirus|Luteoviridae|Polemovirus|Barnaviridae	1_2	20	1e-30	False	Viruses
125	113	55	54	0	31	61	0.8852459016393442	Viruses;Retro-transcribing viruses;Retroviridae	Orthoretrovirinae|Spumaretrovirinae	1_2	20	1e-30	False	Retro-transcribing viruses
132	110	89	40	0	68	41	0.975609756097561	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage	Rio Bravo virus group|Yellow fever virus group|Seaborne tick-borne virus group|tick-borne encephalitis virus group|Japanese encephalitis virus group|Dengue virus group|mosquito-borne viruses|Kokobera virus group|Ntaya virus group|Modoc virus group	1_2	20	1e-30	False	ssRNA viruses
219	89	59	57	0	14	58	0.9827586206896551	Viruses	Torovirinae|Coronavirinae	1_2	20	1e-30	False	Viruses
257	80	44	30	0	1	30	1.0	Viruses	Avastrovirus|Mamastrovirus	1_2	20	1e-30	False	Viruses
261	80	78	75	0	1	1975	0.0379746835443038	Viruses	Siphoviridae|Podoviridae|Myoviridae	1_2	20	1e-30	False	Viruses
313	73	70	70	0	1	135	0.5185185185185185	Viruses;Retro-transcribing viruses	Caulimoviridae|Retroviridae	1_2	20	1e-30	False	Retro-transcribing viruses
412	60	57	51	0	1	1626	0.03136531365313653	Viruses	Siphoviridae|Myoviridae	1_2	20	1e-30	False	Viruses
539	51	27	26	0	5	2921	0.00890106128038343	Viruses	dsDNA viruses, no RNA stage|Retro-transcribing viruses	1_2	20	1e-30	False	Viruses
544	51	35	30	0	17	30	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Caliciviridae	Sapovirus|St-Valerien swine virus|Vesivirus|Norovirus|Lagovirus|Nebovirus	1_2	20	1e-30	False	ssRNA viruses
643	46	46	30	0	1	30	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Astroviridae	Avastrovirus|Mamastrovirus	1_2	20	1e-30	False	ssRNA viruses
726	43	24	14	0	34	14	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Togaviridae;Alphavirus	SFV complex|WEEV complex|VEEV complex|EEEV complex	1_2	20	1e-30	False	ssRNA viruses
