taxon_id	peptide_id	feature_type	strand	start_as_prot	len	nb_peptides	signal_peptide_outline	inclued_in_nb_prot	First_node	taxonomy
11788	NP_955595.1	mat_peptide	1	False	2238		False	1	Retro-transcribing viruses	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
11788	NP_955593.1	mat_peptide	1	False	390		False	1	Retro-transcribing viruses	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
11788	NP_955594.1	mat_peptide	1	False	255		False	1	Retro-transcribing viruses	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
10815	NP_951035.1	mat_peptide	-1	True	387		True	1	ssDNA viruses	['Viruses', 'ssDNA viruses', 'Geminiviridae', 'Begomovirus']
10815	NP_951036.1	mat_peptide	-1	True	396		True	1	ssDNA viruses	['Viruses', 'ssDNA viruses', 'Geminiviridae', 'Begomovirus']
10815	NP_951034.1	mat_peptide	1	False	723		False	1	ssDNA viruses	['Viruses', 'ssDNA viruses', 'Geminiviridae', 'Begomovirus']
390845	YP_003084124.1	mat_peptide	1	False	186		False	2	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259327.1	mat_peptide	1	False	1761		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259326.1	mat_peptide	1	False	447		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259325.1	mat_peptide	1	False	621		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259323.1	mat_peptide	1	False	1296		False	2	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_003084123.1	mat_peptide	1	False	429		False	2	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259329.1	mat_peptide	1	False	69		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259322.1	mat_peptide	1	False	243		False	2	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259332.1	mat_peptide	1	False	1953		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259328.1	mat_peptide	1	False	405		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259331.1	mat_peptide	1	False	2664		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259324.1	mat_peptide	1	False	1170		False	2	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_003084122.1	mat_peptide	1	True	390		False	2	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259330.1	mat_peptide	1	False	771		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
390845	YP_009259321.1	mat_peptide	1	True	333		False	2	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Flaviviridae', 'Flavivirus']
2003501	YP_009121760.1	mat_peptide	1	False	489		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
2003501	YP_009121762.1	mat_peptide	1	False	270		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
2003501	YP_009121763.1	mat_peptide	1	False	60		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
2003501	YP_009121764.1	mat_peptide	1	False	627		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
2003501	YP_009121759.1	mat_peptide	1	False	96		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
2003501	YP_009121755.1	mat_peptide	1	False	192		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
2003501	YP_009121754.1	mat_peptide	1	True	264		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
2003501	YP_009121761.1	mat_peptide	1	False	1092		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
2003501	YP_009121757.1	mat_peptide	1	False	687		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
2003501	YP_009121765.1	mat_peptide	1	False	1401		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
2003501	YP_009121756.1	mat_peptide	1	False	792		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
2003501	YP_009121758.1	mat_peptide	1	False	783		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Picornavirales', 'Picornaviridae', 'Mischivirus']
10497	NP_955557.1	mat_peptide	-1	False	312		False	1	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	Unknown	sig_peptide	1	True	63		True	1	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	Unknown	sig_peptide	-1	True	51		True	1	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	Unknown	sig_peptide	-1	True	54		True	1	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	Unknown	sig_peptide	-1	True	54		True	1	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	Unknown	sig_peptide	-1	True	57		True	1	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	NP_955556.1	mat_peptide	-1	False	192		False	1	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	NP_955555.1	mat_peptide	-1	False	318		False	1	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	NP_955559.1	mat_peptide	-1	False	138		False	1	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	NP_955558.1	mat_peptide	1	False	291		False	1	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	NP_955554.1	mat_peptide	-1	False	255		False	1	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	Unknown	sig_peptide	-1	True	42		True	1	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	NP_955562.1	mat_peptide	-1	False	936		False	1	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
10497	Unknown	sig_peptide	-1	True	60		True	1	dsDNA viruses, no RNA stage	['Viruses', 'dsDNA viruses, no RNA stage', 'Asfarviridae', 'Asfivirus']
41763	YP_054400.1	mat_peptide	1	False	1551		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Potyviridae', 'Rymovirus']
41763	YP_054397.1	mat_peptide	1	False	159		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Potyviridae', 'Rymovirus']
41763	YP_054396.1	mat_peptide	1	False	1911		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Potyviridae', 'Rymovirus']
41763	YP_054398.1	mat_peptide	1	False	579		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Potyviridae', 'Rymovirus']
41763	YP_054394.1	mat_peptide	1	False	1059		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Potyviridae', 'Rymovirus']
41763	YP_054392.1	mat_peptide	1	True	729		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Potyviridae', 'Rymovirus']
41763	YP_054393.1	mat_peptide	1	False	1359		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Potyviridae', 'Rymovirus']
41763	YP_054399.1	mat_peptide	1	False	726		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Potyviridae', 'Rymovirus']
41763	YP_054401.1	mat_peptide	1	False	1002		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Potyviridae', 'Rymovirus']
41763	YP_054395.1	mat_peptide	1	False	159		False	1	ssRNA viruses	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Potyviridae', 'Rymovirus']
