cluster_nb	nb_sequences	nb_seq_with_annotation	window	nb_protein_in_group	nb_of_cleavage_site	nb_cleavage_from_the_same_protein	standard_deviation	round_std	group_completeness	completeness_category	average_position_in_aln	position_max	position_min	group_index	aln_validity	confidence_score	confidence_score_threshold	cluster_with_isoforms_splitted	evalue	coverage	inflation	cleavages_sites_per_seq
3	10	10	30	9	9	0	0.4969039949999533	0.0	90.0	from 75% to 100%	108.94444444444444	109	107	0	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	0.43758573388203015	4	False	1e-60	60	1_8	
3	10	10	30	9	9	0	0.0	0.0	90.0	from 75% to 100%	131.5	131	130	1	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	0.38271604938271603	4	False	1e-60	60	1_8	
3	10	10	30	9	9	0	0.0	0.0	90.0	from 75% to 100%	229.5	229	228	2	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	0.38271604938271603	4	False	1e-60	60	1_8	
3	10	10	30	9	9	0	0.0	0.0	90.0	from 75% to 100%	305.5	305	304	3	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	0.38271604938271603	4	False	1e-60	60	1_8	
3	10	10	30	10	10	0	0.0	0.0	100.0	from 75% to 100%	810.5	810	809	4	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	0.01	4	False	1e-60	60	1_8	
3	10	10	30	10	10	0	0.0	0.0	100.0	from 75% to 100%	1163.5	1163	1162	5	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	0.01	4	False	1e-60	60	1_8	
3	10	10	30	4	4	0	0.0	0.0	40.0	from 25% to 50%	1390.5	1390	1389	6	Number of valid cleavage_site groups >= minimum number of cleavage site/cds annotated	11.3125	4	False	1e-60	60	1_8	
5	8	8	30	8	8	0	0.0	0.0	100.0	from 75% to 100%	147.5	147	146	0	All cleavage sites groups have a good score	0.015625	4	False	1e-60	60	1_8	
5	8	8	30	8	8	0	0.7071067811865476	1.0	100.0	from 75% to 100%	168.0	168	165	1	All cleavage sites groups have a good score	0.09375	4	False	1e-60	60	1_8	
5	8	8	30	8	8	0	0.16535945694153692	0.0	100.0	from 75% to 100%	252.5625	253	251	2	All cleavage sites groups have a good score	0.029296875	4	False	1e-60	60	1_8	
